"id","date","amount","card","id_merchant"
2945,"2018-12-13 15:51:59",2249,"3516952396080247",83
2710,"2018-04-21 19:41:51",2108,"3581345943543942",130
3125,"2018-09-02 06:17:00",2001,"3581345943543942",18
2597,"2018-11-13 17:07:25",1911,"5570600642865857",77
3064,"2018-05-08 13:21:01",1901,"30142966699187",108
2984,"2018-09-11 15:16:47",1856,"3581345943543942",138
3098,"2018-02-19 22:48:25",1839,"344119623920892",95
3139,"2018-06-03 20:02:28",1814,"344119623920892",123
2582,"2018-06-22 06:16:50",1813,"4319653513507",40
2508,"2018-07-26 23:02:51",1803,"5570600642865857",68
2760,"2018-11-27 15:36:05",1802,"501879657465",70
3143,"2018-06-10 04:54:27",1795,"30181963913340",45
2497,"2018-09-04 01:35:39",1790,"4761049645711555811",43
3252,"2018-11-17 05:30:43",1769,"344119623920892",18
2696,"2018-12-19 16:10:03",1724,"30181963913340",105
2913,"2018-01-24 13:17:19",1691,"4761049645711555811",14
2650,"2018-01-04 03:05:18",1685,"3516952396080247",80
2667,"2018-01-23 06:29:37",1678,"501879657465",92
2672,"2018-11-27 17:27:34",1660,"4761049645711555811",29
2520,"2018-12-24 15:55:06",1634,"5570600642865857",7
3318,"2018-06-27 01:27:09",1592,"501879657465",136
2789,"2018-03-04 15:50:53",1534,"30181963913340",118
2610,"2018-03-12 00:44:01",1530,"501879657465",20
1424,"2018-08-07 11:07:32",1449,"3516952396080247",61
2699,"2018-02-17 01:27:19",1430,"5570600642865857",71
3225,"2018-07-03 14:56:36",1398,"3581345943543942",8
1459,"2018-08-05 01:06:38",1379,"3581345943543942",145
2752,"2018-07-31 05:15:17",1302,"4761049645711555811",111
1318,"2018-12-18 17:20:33",1296,"3516952396080247",87
1408,"2018-11-27 17:20:29",1279,"3581345943543942",134
1757,"2018-05-29 02:55:08",1203,"5570600642865857",62
1395,"2018-10-07 18:29:20",1179,"30181963913340",106
1415,"2018-01-30 18:31:00",1177,"4319653513507",64
1431,"2018-09-10 22:49:41",1176,"344119623920892",72
1790,"2018-06-04 03:46:15",1162,"4319653513507",96
1349,"2018-07-14 06:09:18",1160,"30078299053512",136
1334,"2018-07-11 16:55:22",1159,"30078299053512",107
1326,"2018-12-13 12:09:58",1154,"344119623920892",8
1842,"2018-02-27 15:27:32",1145,"3581345943543942",33
1204,"2018-11-25 20:44:07",1123,"501879657465",59
1005,"2018-03-01 21:29:05",1119,"30078299053512",19
1129,"2018-06-28 21:13:52",1108,"501879657465",35
1348,"2018-07-24 22:42:00",1108,"3581345943543942",35
1191,"2018-06-17 15:59:45",1103,"5570600642865857",23
1622,"2018-06-21 13:16:25",1102,"501879657465",128
1520,"2018-09-25 23:23:21",1095,"30181963913340",62
1827,"2018-04-18 23:23:29",1086,"3516952396080247",26
1359,"2018-04-03 03:23:37",1077,"344119623920892",100
1856,"2018-09-23 19:20:23",1075,"501879657465",13
1863,"2018-12-18 13:33:37",1074,"4319653513507",67
1480,"2018-02-19 16:00:43",1072,"3516952396080247",49
1341,"2018-04-08 06:03:50",1063,"4319653513507",16
1536,"2018-09-06 21:55:02",1056,"4761049645711555811",36
1629,"2018-11-20 05:24:28",1054,"30078299053512",22
1549,"2018-10-19 01:07:37",1053,"30078299053512",10
1377,"2018-05-13 06:31:20",1046,"4319653513507",48
1119,"2018-12-25 19:10:42",1035,"30142966699187",57
1293,"2018-12-30 23:23:09",1033,"4761049645711555811",57
99,"2018-01-02 23:27:46",1031,"501879657465",95
1291,"2018-01-08 02:34:32",1029,"3581345943543942",145
1800,"2018-12-03 02:38:52",1014,"5570600642865857",64
1821,"2018-03-20 13:05:54",1011,"30142966699187",141
1877,"2018-08-16 10:01:00",1001,"4319653513507",120
236,"2018-03-20 10:19:25",852,"501879657465",35
384,"2018-10-07 14:40:34",757,"30078299053512",73
224,"2018-06-06 21:50:17",749,"4319653513507",36
249,"2018-06-17 02:45:49",691,"30181963913340",70
16,"2018-09-09 03:39:06",626,"30078299053512",135
408,"2018-04-10 06:08:01",543,"3516952396080247",63
2241,"2018-04-21 18:40:47",525,"30142966699187",134
2330,"2018-10-16 13:27:33",484,"4761049645711555811",142
2192,"2018-11-13 05:58:47",466,"30142966699187",122
2103,"2018-09-02 11:20:42",458,"344119623920892",10
2409,"2018-02-09 11:38:37",445,"3516952396080247",112
466,"2018-10-23 22:47:13",393,"5570600642865857",148
38,"2018-03-09 04:51:38",389,"3581345943543942",76
812,"2018-01-08 11:15:36",333,"344119623920892",95
764,"2018-04-11 02:50:37",325,"30181963913340",45
2164,"2018-12-28 16:20:31",313,"30078299053512",12
682,"2018-07-21 11:08:39",291,"30142966699187",119
3423,"2018-04-09 10:24:32",283,"4761049645711555811",50
329,"2018-04-09 18:28:25",269,"4319653513507",36
292,"2018-11-26 20:54:39",267,"4761049645711555811",24
690,"2018-07-13 19:47:49",267,"30181963913340",5
528,"2018-06-18 23:05:30",258,"30142966699187",72
3352,"2018-05-30 12:34:04",245,"30181963913340",105
721,"2018-07-17 10:11:12",233,"3516952396080247",73
2188,"2018-01-11 13:20:31",229,"5570600642865857",115
696,"2018-10-11 23:29:33",206,"30078299053512",144
2121,"2018-08-21 20:46:33",188,"30078299053512",71
3338,"2018-10-19 12:32:37",178,"5570600642865857",28
3457,"2018-01-07 01:10:54",175,"344119623920892",12
3377,"2018-05-19 19:33:38",160,"3516952396080247",24
2051,"2018-10-28 02:12:58",137,"4319653513507",16
654,"2018-06-30 01:56:19",121,"344119623920892",20
560,"2018-07-06 16:12:08",117,"344119623920892",62
606,"2018-07-04 17:28:06",89,"5570600642865857",112
636,"2018-12-05 19:24:27",57,"30181963913340",122
3264,"2018-11-22 20:42:00",23.04,"5175947111814778",65
2925,"2018-11-08 02:10:03",22.78,"5135837688671496",78
